date,website_traffic,conversion_rate,average_order_value,ad_spend,refund_rate,orders,revenue,new_customers,returning_customers,customer_acquisition_cost,gross_profit,profit_margin,revenue_growth_dod,orders_growth_dod,traffic_growth_dod,revenue_7d_avg,conversion_7d_avg,refund_rate_zscore,anomaly_refund,conv_rate_14d_mean,conv_rate_14d_std,conv_lower_bound,anomaly_conv_rate,ad_spend_14d_mean,ad_spend_14d_std,ad_upper_bound,anomaly_ad_spend,is_anomaly
2023-01-01,4299,0.0242,75.98,995.96,0.0293,104,7901.84,73,31,13.64,4741.1,0.6,0.0,0.0,0.0,0.0,0.0,-0.20056495074251515,0,0.0242,0.0,0.0242,0,995.96,0.0,995.96,0,0
2023-01-02,4976,0.0254,70.11,1004.76,0.0239,126,8833.63,89,37,11.29,5300.18,0.6,0.1179206362062506,0.2115384615384614,0.1574784833682252,0.0,0.0,-0.7388458847205874,0,0.0248,0.0008485281374238568,0.022678679656440357,0,1000.36,6.222539674441586,1015.916349186104,0,0
2023-01-03,5137,0.025,77.04,901.74,0.029,128,9861.28,91,37,9.91,5916.77,0.6,0.1163338287883917,0.0158730158730158,0.0323553054662379,0.0,0.0,-0.2304694470746301,0,0.024866666666666665,0.0006110100926607788,0.02333914143501472,0,967.4866666666667,57.10803913052289,1110.2567644929738,0,0
2023-01-04,5316,0.0252,66.49,1048.29,0.0257,133,8842.78,97,36,10.81,5305.67,0.6,-0.1032827381435269,0.0390625,0.0348452404126922,0.0,0.0,-0.5594189067278967,0,0.02495,0.0005259911279353169,0.023635022180161707,0,987.6875,61.696948263265,1141.9298706581626,0,0
2023-01-05,4969,0.0235,80.15,1020.62,0.0271,116,9296.91,79,37,12.92,5578.15,0.6,0.0513560215226431,-0.1278195488721805,-0.0652746425884123,0.0,0.0,-0.41986459051135955,0,0.024659999999999998,0.0007924645102463584,0.0226788387243841,0,994.274,55.42377630584187,1132.8334407646048,0,0
2023-01-06,4973,0.025,77.36,1054.02,0.0329,124,9593.01,84,40,12.55,5755.81,0.6,0.0318492918614894,0.0689655172413792,0.0008049909438518,0.0,0.0,0.1582890052428664,0,0.024716666666666665,0.0007222649560006821,0.02291100427666496,0,1004.2316666666666,55.24822835771899,1142.352237560964,0,0
2023-01-07,4540,0.026,76.28,860.13,0.0383,118,9001.06,80,38,10.75,5400.63,0.6,-0.0617063882973123,-0.0483870967741935,-0.0870701789664186,9047.215714285714,0.0249,0.696569939220939,0,0.024900000000000002,0.0008185352771872445,0.02285366180703189,0,983.6457142857142,74.23010841456515,1169.220985322127,0,0
2023-01-08,4382,0.0279,79.91,1110.19,0.032,122,9749.44,84,38,13.22,5849.66,0.6,0.083143540871853,0.0338983050847456,-0.0348017621145374,9311.158571428572,0.0254285714285714,0.06857551624652118,0,0.025275,0.0013035665361943412,0.022016083659514147,0,999.46375,82.00385721546448,1204.4733930386612,0,0
2023-01-09,4939,0.0269,83.33,999.61,0.024,132,10999.21,96,36,10.41,6599.53,0.6,0.1281889011061145,0.0819672131147541,0.1271109082610679,9620.527142857143,0.0256428571428571,-0.7288777192765491,0,0.025455555555555554,0.0013342705039750282,0.022119879295617983,0,999.48,76.7076000146009,1191.2490000365024,0,0
2023-01-10,5145,0.0293,80.07,1062.83,0.0322,150,12010.78,106,44,10.03,7206.47,0.6,0.0919675140305531,0.1363636363636364,0.0417088479449281,9927.598571428573,0.0262571428571428,0.08851184713459782,0,0.025840000000000002,0.0017494125998301375,0.02146646850042466,0,1005.8149999999999,75.04394819778014,1193.4248704944503,0,0
